
duration_max: 1000000 ; a: ponton ; b: est ; spd: 3000
time: 25274 ; d_psi: 2 ; rpm_l: 3000 ; rpm_r: -2970 ; rpm_lb: 2966 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 25843 ; d_psi: 14 ; rpm_l: 2970 ; rpm_r: -2970 ; rpm_lb: 2813 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 26348 ; d_psi: 15 ; rpm_l: 2850 ; rpm_r: -3060 ; rpm_lb: 2800 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 26912 ; d_psi: 9 ; rpm_l: 2850 ; rpm_r: -3060 ; rpm_lb: 2867 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 27418 ; d_psi: 5 ; rpm_l: 2730 ; rpm_r: -3030 ; rpm_lb: 2927 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 27960 ; d_psi: 3 ; rpm_l: 2820 ; rpm_r: -2970 ; rpm_lb: 2944 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 28515 ; d_psi: -3 ; rpm_l: 2790 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2968 ; th_l: 18 ; th_r: 20
time: 29026 ; d_psi: 4 ; rpm_l: 2910 ; rpm_r: -3030 ; rpm_lb: 2936 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 29555 ; d_psi: -6 ; rpm_l: 3060 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2923 ; th_l: 18 ; th_r: 20
time: 30058 ; d_psi: -17 ; rpm_l: 3060 ; rpm_r: -2910 ; rpm_lb: 3000 ; rpm_rb: 2786 ; th_l: 18 ; th_r: 20
time: 30623 ; d_psi: -10 ; rpm_l: 3090 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2879 ; th_l: 18 ; th_r: 20
time: 31132 ; d_psi: -19 ; rpm_l: 3060 ; rpm_r: -2820 ; rpm_lb: 3000 ; rpm_rb: 2762 ; th_l: 18 ; th_r: 20
time: 31691 ; d_psi: -2 ; rpm_l: 2970 ; rpm_r: -2700 ; rpm_lb: 3000 ; rpm_rb: 2972 ; th_l: 18 ; th_r: 20
time: 32193 ; d_psi: -14 ; rpm_l: 3030 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 2816 ; th_l: 18 ; th_r: 20
time: 32763 ; d_psi: -3 ; rpm_l: 3030 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2956 ; th_l: 18 ; th_r: 20
time: 33273 ; d_psi: -8 ; rpm_l: 3060 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2895 ; th_l: 18 ; th_r: 20
time: 33832 ; d_psi: -17 ; rpm_l: 2940 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 2777 ; th_l: 18 ; th_r: 20
