
New mission : Follow LINE from est to nord - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
17913 0 0 0 0 0 0 -51 2985 -2460 3000 2375 19 21 
18480 0 0 0 0 0 0 -47 3030 -2340 3000 2403 19 21 
18982 0 0 0 0 0 0 -55 3000 -2400 3000 2293 19 21 
19553 0 0 0 0 0 0 -50 3030 -2280 3000 2348 19 21 
20056 0 0 0 0 0 0 -45 2940 -2310 3000 2399 19 21 
20563 0 0 0 0 0 0 -42 2940 -2400 3000 2426 19 21 
21065 0 0 0 0 0 0 -29 3030 -2430 3000 2581 19 21 
21612 0 0 0 0 0 0 -43 3060 -2640 3000 2397 19 21 
22118 0 0 0 0 0 0 -27 3000 -2370 3000 2581 19 21 
22659 0 0 0 0 0 0 -9 2940 -2610 3000 2805 19 21 
23232 0 0 0 0 0 0 -40 3000 -2790 3000 2410 19 21 
23736 0 0 0 0 0 0 -25 3060 -2400 3000 2589 19 21 
24274 0 0 0 0 0 0 -29 3030 -2640 3000 2539 19 21 
24781 0 0 0 0 0 0 -20 2910 -2520 3000 2641 19 21 
25351 0 0 0 0 0 0 -33 3000 -2640 3000 2468 19 21 
25862 0 0 0 0 0 0 -24 3000 -2460 3000 2579 19 21 
26415 0 0 0 0 0 0 -21 3060 -2640 3000 2607 19 21 
26925 0 0 0 0 0 0 0 3090 -2610 3000 2865 19 21 
27488 0 0 0 0 0 0 -15 2730 -2880 3000 2682 19 21 
27990 0 0 0 0 0 0 -5 3240 -2610 3000 2800 19 21 
28556 0 0 0 0 0 0 -16 2880 -2880 3000 2661 19 21 
29066 0 0 0 0 0 0 -8 3030 -2640 3000 2760 19 21 
29608 0 0 0 0 0 0 -38 3060 -2790 3000 2374 19 21 
30110 0 0 0 0 0 0 -1 2940 -2310 3000 2837 19 21 
30614 0 0 0 0 0 0 -36 3030 -2820 3000 2390 19 21 
31125 0 0 0 0 0 0 -30 3000 -2370 3000 2460 19 21 
31668 0 0 0 0 0 0 -34 3030 -2400 3000 2405 19 21 
32235 0 0 0 0 0 0 -35 2880 -2430 3000 2374 19 21 
32740 0 0 0 0 0 0 -15 3060 -2400 3000 2630 19 21 
33266 0 0 0 0 0 0 -21 3030 -2640 3000 2543 19 21 
33777 0 0 0 0 0 0 26 3000 -2580 2846 3000 19 21 
34342 0 0 0 0 0 0 -16 2700 -3150 3000 2604 19 21 
34845 0 0 0 0 0 0 -24 3120 -2430 3000 2502 19 21 
35407 0 0 0 0 0 0 -49 3000 -2490 3000 2180 19 21 
35914 0 0 0 0 0 0 -32 3030 -2130 3000 2387 19 21 
36479 0 0 0 0 0 0 -30 2910 -2430 3000 2400 19 21 
36981 0 0 0 0 0 0 -27 3120 -2370 3000 2429 19 21 
37555 0 0 0 0 0 0 -25 2880 -2460 3000 2451 19 21 
38062 0 0 0 0 0 0 -3 3000 -2460 3000 2729 19 21 
38609 0 0 0 0 0 0 -9 3090 -2730 3000 2649 19 21 
39118 0 0 0 0 0 0 -7 2940 -2730 3000 2670 19 21 
39658 0 0 0 0 0 0 -30 3030 -2580 3000 2371 19 21 
40225 0 0 0 0 0 0 -9 3060 -2370 3000 2628 19 21 
40729 0 0 0 0 0 0 -36 2970 -2580 3000 2291 19 21 
41234 0 0 0 0 0 0 -16 2970 -2400 3000 2531 19 21 
41736 0 0 0 0 0 0 -2 2970 -2430 3000 2703 19 21 
42275 0 0 0 0 0 0 1 2970 -2760 3000 2764 19 21 
42783 0 0 0 0 0 0 -15 3090 -2850 3000 2544 19 21 
43343 0 0 0 0 0 0 -27 2940 -2430 3000 2389 19 21 
43852 0 0 0 0 0 0 -17 3090 -2385 3000 2505 19 21 
44353 0 0 0 0 0 0 -11 2880 -2610 3000 2574 19 21 
44862 0 0 0 0 0 0 -5 3120 -2520 3000 2655 19 21 
45414 0 0 0 0 0 0 -13 2940 -2670 3000 2551 19 21 
45920 0 0 0 0 0 0 -25 3030 -2610 3000 2388 19 21 
46487 0 0 0 0 0 0 -24 2910 -2310 3000 2403 19 21 
46989 0 0 0 0 0 0 27 3060 -2340 2945 3000 19 21 
47562 0 0 0 0 0 0 3 2820 -3150 3000 2756 19 21 
48064 0 0 0 0 0 0 -26 3120 -2820 3000 2374 19 21 
48611 0 0 0 0 0 0 -10 3000 -2160 3000 2573 19 21 
49115 0 0 0 0 0 0 -16 3030 -2640 3000 2494 19 21 
49658 0 0 0 0 0 0 -16 3000 -2490 3000 2487 19 21 
50227 0 0 0 0 0 0 -11 3000 -2520 3000 2544 19 21 
50730 0 0 0 0 0 0 -6 2940 -2520 3000 2605 19 21 
51235 0 0 0 0 0 0 3 3030 -2610 3000 2732 19 21 

New mission : Follow LINE from ouest to est - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 0 0 0 0 0 0 72 2550 -2310 2070 3000 19 21 
526 0 0 0 0 0 0 59 1200 -2850 2217 3000 19 21 
1034 0 0 0 0 0 0 76 2460 -3270 1990 3000 19 21 
1603 0 0 0 0 0 0 38 1950 -3030 2454 3000 19 21 
2103 0 0 0 0 0 0 168 2550 -2910 794 3000 19 21 
2611 0 0 0 0 0 0 31 1470 -3090 2500 3000 19 21 
3111 0 0 0 0 0 0 5 2490 -2940 2812 3000 19 21 
3674 0 0 0 0 0 0 13 3030 -2910 2717 3000 19 21 
4180 0 0 0 0 0 0 13 2580 -3060 2708 3000 19 21 
4742 0 0 0 0 0 0 3 2760 -2940 2830 3000 19 21 
5245 0 0 0 0 0 0 14 2940 -3090 2692 3000 19 21 
5812 0 0 0 0 0 0 4 2520 -2940 2816 3000 19 21 
6319 0 0 0 0 0 0 -16 3000 -3120 3000 2919 19 21 
6864 0 0 0 0 0 0 4 3000 -2820 2826 3000 19 21 
7366 0 0 0 0 0 0 -15 2790 -3000 3000 2924 19 21 
