
duration: 50 ; psi_bar: 90 ; spd: 3000
time: 30964 ; d_psi: -22 ; rpm_l: 1320 ; rpm_r: -3420 ; rpm_lb: 3000 ; rpm_rb: 2742 ; th_l: 22 ; th_r: 24
time: 31520 ; d_psi: -150 ; rpm_l: 2070 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 1127 ; th_l: 22 ; th_r: 24
time: 32021 ; d_psi: -3 ; rpm_l: 2790 ; rpm_r: -1860 ; rpm_lb: 3000 ; rpm_rb: 2962 ; th_l: 22 ; th_r: 24
time: 32534 ; d_psi: -22 ; rpm_l: 3390 ; rpm_r: -2010 ; rpm_lb: 3000 ; rpm_rb: 2730 ; th_l: 22 ; th_r: 24
time: 33035 ; d_psi: -15 ; rpm_l: 3660 ; rpm_r: -2160 ; rpm_lb: 3000 ; rpm_rb: 2808 ; th_l: 22 ; th_r: 24
time: 33606 ; d_psi: 0 ; rpm_l: 3540 ; rpm_r: -2460 ; rpm_lb: 2996 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 34117 ; d_psi: 9 ; rpm_l: 3420 ; rpm_r: -2850 ; rpm_lb: 2877 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 34671 ; d_psi: -134 ; rpm_l: 3210 ; rpm_r: -3180 ; rpm_lb: 3000 ; rpm_rb: 1315 ; th_l: 22 ; th_r: 24
time: 35180 ; d_psi: 37 ; rpm_l: 3090 ; rpm_r: -2370 ; rpm_lb: 2533 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 35703 ; d_psi: 169 ; rpm_l: 2730 ; rpm_r: -2490 ; rpm_lb: 864 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 36271 ; d_psi: 9 ; rpm_l: 1290 ; rpm_r: -2730 ; rpm_lb: 2860 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 36796 ; d_psi: 25 ; rpm_l: 1650 ; rpm_r: -2910 ; rpm_lb: 2663 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 37309 ; d_psi: -147 ; rpm_l: 2115 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 1161 ; th_l: 22 ; th_r: 24
time: 37816 ; d_psi: -7 ; rpm_l: 2595 ; rpm_r: -2130 ; rpm_lb: 3000 ; rpm_rb: 2908 ; th_l: 22 ; th_r: 24
time: 38321 ; d_psi: -50 ; rpm_l: 2910 ; rpm_r: -2250 ; rpm_lb: 3000 ; rpm_rb: 2371 ; th_l: 22 ; th_r: 24
time: 38828 ; d_psi: -15 ; rpm_l: 3270 ; rpm_r: -2220 ; rpm_lb: 3000 ; rpm_rb: 2808 ; th_l: 22 ; th_r: 24
time: 39398 ; d_psi: -91 ; rpm_l: 3360 ; rpm_r: -2460 ; rpm_lb: 3000 ; rpm_rb: 1847 ; th_l: 22 ; th_r: 24
time: 39908 ; d_psi: -12 ; rpm_l: 3330 ; rpm_r: -2220 ; rpm_lb: 3000 ; rpm_rb: 2836 ; th_l: 22 ; th_r: 24
time: 40458 ; d_psi: -4 ; rpm_l: 3270 ; rpm_r: -2460 ; rpm_lb: 3000 ; rpm_rb: 2937 ; th_l: 22 ; th_r: 24
time: 40963 ; d_psi: -14 ; rpm_l: 3150 ; rpm_r: -2670 ; rpm_lb: 3000 ; rpm_rb: 2802 ; th_l: 22 ; th_r: 24
time: 41533 ; d_psi: 3 ; rpm_l: 3000 ; rpm_r: -2970 ; rpm_lb: 2966 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 42033 ; d_psi: 124 ; rpm_l: 2940 ; rpm_r: -3150 ; rpm_lb: 1449 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 42594 ; d_psi: 0 ; rpm_l: 2010 ; rpm_r: -3300 ; rpm_lb: 3000 ; rpm_rb: 2989 ; th_l: 22 ; th_r: 24
time: 43103 ; d_psi: -10 ; rpm_l: 2250 ; rpm_r: -3210 ; rpm_lb: 3000 ; rpm_rb: 2872 ; th_l: 22 ; th_r: 24
