
time: 14176 ; d_psi: -62 ; rpm_l: 540 ; rpm_r: -300 ; rpm_lb: 500 ; rpm_rb: 345 ; th_l: 20 ; th_r: 22
time: 14679 ; d_psi: -67 ; rpm_l: 450 ; rpm_r: -360 ; rpm_lb: 500 ; rpm_rb: 332 ; th_l: 20 ; th_r: 22
time: 15183 ; d_psi: -50 ; rpm_l: 510 ; rpm_r: -360 ; rpm_lb: 500 ; rpm_rb: 367 ; th_l: 20 ; th_r: 22
time: 15744 ; d_psi: -70 ; rpm_l: 510 ; rpm_r: -360 ; rpm_lb: 500 ; rpm_rb: 325 ; th_l: 20 ; th_r: 22
time: 16249 ; d_psi: -61 ; rpm_l: 540 ; rpm_r: -330 ; rpm_lb: 500 ; rpm_rb: 343 ; th_l: 20 ; th_r: 22
time: 16752 ; d_psi: -62 ; rpm_l: 450 ; rpm_r: -300 ; rpm_lb: 500 ; rpm_rb: 339 ; th_l: 20 ; th_r: 22
time: 17257 ; d_psi: -72 ; rpm_l: 480 ; rpm_r: -360 ; rpm_lb: 500 ; rpm_rb: 318 ; th_l: 20 ; th_r: 22
time: 17826 ; d_psi: -72 ; rpm_l: 540 ; rpm_r: -390 ; rpm_lb: 500 ; rpm_rb: 318 ; th_l: 20 ; th_r: 22
time: 18334 ; d_psi: -69 ; rpm_l: 480 ; rpm_r: -240 ; rpm_lb: 500 ; rpm_rb: 323 ; th_l: 20 ; th_r: 22
time: 18895 ; d_psi: -68 ; rpm_l: 450 ; rpm_r: -270 ; rpm_lb: 500 ; rpm_rb: 323 ; th_l: 20 ; th_r: 22
time: 19399 ; d_psi: -73 ; rpm_l: 540 ; rpm_r: -360 ; rpm_lb: 500 ; rpm_rb: 313 ; th_l: 20 ; th_r: 22
time: 19943 ; d_psi: -71 ; rpm_l: 510 ; rpm_r: -360 ; rpm_lb: 500 ; rpm_rb: 314 ; th_l: 20 ; th_r: 22

duration: 20 ; psi_bar: 30 ; spd: 1000
time: 0 ; d_psi: -59 ; rpm_l: 450 ; rpm_r: -270 ; rpm_lb: 1000 ; rpm_rb: 748 ; th_l: 20 ; th_r: 22
time: 509 ; d_psi: -30 ; rpm_l: 2550 ; rpm_r: -2610 ; rpm_lb: 1000 ; rpm_rb: 869 ; th_l: 20 ; th_r: 22
time: 1041 ; d_psi: -59 ; rpm_l: 2970 ; rpm_r: -3030 ; rpm_lb: 1000 ; rpm_rb: 745 ; th_l: 20 ; th_r: 22
