
New mission : Follow LINE from ponton to eval - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
107788 0 0 0 0 0 0 -10 3060 -2640 3000 2357 20 22 
108292 0 0 0 0 0 0 2 2910 -2280 3000 2521 20 22 
108798 0 0 0 0 0 0 -5 2940 -2460 3000 2426 20 22 
109302 0 0 0 0 0 0 -6 3120 -2520 3000 2409 20 22 
109864 0 0 0 0 0 0 22 3090 -2430 3000 2779 20 22 
110369 0 0 0 0 0 0 73 2820 -2820 2564 3000 20 22 
110872 0 0 0 0 0 0 13 2460 -3000 3000 2685 20 22 
111377 0 0 0 0 0 0 45 3150 -2640 2898 3000 20 22 
111923 0 0 0 0 0 0 7 2910 -3090 3000 2620 20 22 
112429 0 0 0 0 0 0 -7 3030 -2550 3000 2437 20 22 
112996 0 0 0 0 0 0 1 3000 -2430 3000 2552 20 22 
113497 0 0 0 0 0 0 3 3000 -2520 3000 2577 20 22 
113999 0 0 0 0 0 0 16 2970 -2610 3000 2739 20 22 
114500 0 0 0 0 0 0 5 3000 -2760 3000 2601 20 22 
115072 0 0 0 0 0 0 -1 3030 -2580 3000 2519 20 22 
115584 0 0 0 0 0 0 4 2970 -2520 3000 2590 20 22 
116131 0 0 0 0 0 0 21 2970 -2520 3000 2815 20 22 
116634 0 0 0 0 0 0 0 3000 -2910 3000 2538 20 22 
117135 0 0 0 0 0 0 -12 3030 -2520 3000 2383 20 22 
117642 0 0 0 0 0 0 -12 3030 -2370 3000 2381 20 22 
118147 0 0 0 0 0 0 -14 3030 -2430 3000 2354 20 22 
118649 0 0 0 0 0 0 -15 3030 -2310 3000 2328 20 22 
119177 0 0 0 0 0 0 -20 2880 -2310 3000 2264 20 22 
119745 0 0 0 0 0 0 -29 3000 -2160 3000 2150 20 22 
120257 0 0 0 0 0 0 -10 3000 -2160 3000 2380 20 22 
120796 0 0 0 0 0 0 2 3120 -2490 3000 2541 20 22 
121302 0 0 0 0 0 0 -13 2880 -2550 3000 2334 20 22 
121873 0 0 0 0 0 0 26 3090 -2280 3000 2842 20 22 
122382 0 0 0 0 0 0 6 2880 -2880 3000 2599 20 22 
122923 0 0 0 0 0 0 46 3030 -2580 2888 3000 20 22 
123431 0 0 0 0 0 0 0 2910 -3060 3000 2533 20 22 
123932 0 0 0 0 0 0 -18 2970 -2520 3000 2291 20 22 
124440 0 0 0 0 0 0 -41 3060 -2220 3000 1998 20 22 
125000 0 0 0 0 0 0 -12 3060 -2010 3000 2352 20 22 
125504 0 0 0 0 0 0 -35 2970 -2310 3000 2060 20 22 
126069 0 0 0 0 0 0 -2 2910 -2100 3000 2468 20 22 
126579 0 0 0 0 0 0 -27 2970 -2430 3000 2146 20 22 
127138 0 0 0 0 0 0 -7 3180 -2160 3000 2395 20 22 
127644 0 0 0 0 0 0 19 2880 -2400 3000 2744 20 22 
128146 0 0 0 0 0 0 21 2940 -2730 3000 2767 20 22 
128650 0 0 0 0 0 0 -11 3090 -2880 3000 2360 20 22 
129167 0 0 0 0 0 0 7 2910 -2370 3000 2599 20 22 
129675 0 0 0 0 0 0 174 3150 -2550 1271 3000 20 22 
130177 0 0 0 0 0 0 -1 1980 -3120 3000 2524 20 22 
130745 0 0 0 0 0 0 -9 3000 -2460 3000 2420 20 22 
131257 0 0 0 0 0 0 -64 3210 -2340 3000 1723 20 22 
131796 0 0 0 0 0 0 -55 2880 -1710 3000 1817 20 22 
132302 0 0 0 0 0 0 16 3000 -1740 3000 2728 20 22 
132865 0 0 0 0 0 0 0 2880 -2850 3000 2526 20 22 
133374 0 0 0 0 0 0 10 3030 -2490 3000 2657 20 22 
133924 0 0 0 0 0 0 11 3150 -2700 3000 2661 20 22 
134432 0 0 0 0 0 0 30 3000 -2670 3000 2907 20 22 
134996 0 0 0 0 0 0 37 2850 -2880 2991 3000 20 22 
135499 0 0 0 0 0 0 45 3000 -3150 2879 3000 20 22 
136068 0 0 0 0 0 0 42 2910 -2940 2905 3000 20 22 
136570 0 0 0 0 0 0 39 2910 -2940 2940 3000 20 22 
137132 0 0 0 0 0 0 8 2880 -3060 3000 2685 20 22 
137634 0 0 0 0 0 0 -164 3090 -2640 3000 479 20 22 
138137 0 0 0 0 0 0 -14 3000 -1410 3000 2351 20 22 
