time: 2145 ; d_psi: -92 ; rpm_l: 2460 ; rpm_r: -1320 ; rpm_lb: 3000 ; rpm_rb: 1817 ; th_l: 22 ; th_r: 24
time: 2648 ; d_psi: -88 ; rpm_l: 2610 ; rpm_r: -1290 ; rpm_lb: 3000 ; rpm_rb: 1856 ; th_l: 22 ; th_r: 24
time: 3154 ; d_psi: -59 ; rpm_l: 2760 ; rpm_r: -1530 ; rpm_lb: 3000 ; rpm_rb: 2208 ; th_l: 22 ; th_r: 24
time: 3657 ; d_psi: -24 ; rpm_l: 2940 ; rpm_r: -2160 ; rpm_lb: 3000 ; rpm_rb: 2648 ; th_l: 22 ; th_r: 24
time: 4230 ; d_psi: -65 ; rpm_l: 2970 ; rpm_r: -2730 ; rpm_lb: 3000 ; rpm_rb: 2134 ; th_l: 22 ; th_r: 24
time: 4736 ; d_psi: -82 ; rpm_l: 3120 ; rpm_r: -2460 ; rpm_lb: 3000 ; rpm_rb: 1915 ; th_l: 22 ; th_r: 24
time: 5291 ; d_psi: -57 ; rpm_l: 3075 ; rpm_r: -1950 ; rpm_lb: 3000 ; rpm_rb: 2216 ; th_l: 22 ; th_r: 24
time: 5795 ; d_psi: 114 ; rpm_l: 2955 ; rpm_r: -2100 ; rpm_lb: 1617 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 6365 ; d_psi: -132 ; rpm_l: 1590 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 1284 ; th_l: 22 ; th_r: 24
time: 6876 ; d_psi: -37 ; rpm_l: 2550 ; rpm_r: -1560 ; rpm_lb: 3000 ; rpm_rb: 2464 ; th_l: 22 ; th_r: 24
time: 7429 ; d_psi: 14 ; rpm_l: 2940 ; rpm_r: -2010 ; rpm_lb: 2887 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 7938 ; d_psi: 21 ; rpm_l: 3090 ; rpm_r: -2910 ; rpm_lb: 2798 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 8492 ; d_psi: 43 ; rpm_l: 2970 ; rpm_r: -3480 ; rpm_lb: 2518 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 8994 ; d_psi: -123 ; rpm_l: 2610 ; rpm_r: -3270 ; rpm_lb: 3000 ; rpm_rb: 1384 ; th_l: 22 ; th_r: 24
time: 9544 ; d_psi: -16 ; rpm_l: 2910 ; rpm_r: -1620 ; rpm_lb: 3000 ; rpm_rb: 2727 ; th_l: 22 ; th_r: 24
duration: 10 ; psi_bar: 0.0 ; spd: 3000
time: 0 ; d_psi: 19 ; rpm_l: 2670 ; rpm_r: -1980 ; rpm_lb: 2757 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 510 ; d_psi: 7 ; rpm_l: 2730 ; rpm_r: -3930 ; rpm_lb: 2906 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
